id;autor;titulo;jornal;volume;paginas;ano;evento;endereco;note;venue;editor;tipo;instituicao;mes
129; Fahlman, S. E. ; Faster-learning variations of backpropagation : An empirical study. ;NULL;NULL;NULL; 1988. ; Morgan Kaufmann Publishers , 38-51, ; San Mateo, CA: ;NULL; Proceedings of the 1988 Connectionist Models Summer School ; In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds), ;NULL;NULL;NULL
130; S. Fahlmann, ; Faster-Learning Variations on BackPropagation: An Empirical Study, ;NULL;NULL; pp 38-51 ; 1988. ;NULL;NULL;NULL; Proceedings of the 1988 Connectionist Models Summer School ;NULL;NULL;NULL;NULL
131; S. Fahlmann, ; Faster-Learning Variations on BackPropagation: An Empirical Study, ;NULL;NULL; pp 38-51 ; 1988. ;NULL;NULL;NULL; Proceedings of the 1988 Connectionist Models Summer School ;NULL;NULL;NULL;NULL
132; S.E. Fahlman, ;" ""Faster-learning Variations on Backpropagation : An Empirical Study,"" ";NULL;NULL;NULL; 1988. ; Mor-gan Kaufmann, ;NULL;NULL; in  1988 Connectionist Models Summer School ; T.J. Sejnowski, G.E. Hinton, and D.S. Touretzky, Eds. ;NULL;NULL;NULL
133; Fahlman, S. ;" ""Faster-Learning Variations on Back-Propagation: An Empirical Study"". In: ";NULL;NULL;NULL;1988; Morgan Kaufmann, ;NULL;NULL; Proc. of the 1988 Connectionist Models Summer School ;NULL;NULL;NULL;NULL
134; S.E. Fahlman. ; Faster-learning variations on back-propagation: An empirical study. ;NULL;NULL;NULL; 1988. ;NULL;NULL;NULL; In Proceedings of the 1988 Connectionist Models Summer School ;NULL;NULL;NULL;NULL
135; Fahlman, S.E. ;" ""Faster-Learning Variations on Back-Propagation: An Empirical Study"", ";NULL;NULL; 38-51 ;NULL; Morgan Kaufmann. ;NULL;NULL; in Proceedings of the 1988 Connectionist Models Summer School Pitts-burg (1988) ;NULL;NULL;NULL;NULL
136; S. Fahlman. ; Faster-learning variations on backpropagation: an empirical study. ;NULL;NULL; pages 38-51 ; 1988. ; Morgan-Kauffman,;NULL;NULL; Proceedings of the 1988 Connectionist Models Summer School ; In D. Touretzky, G. Hinton, and T. Sejnowsky, editors, ;NULL;NULL;NULL
137; S. Fahlman. ; Faster-learning variations on backpropagation: an empirical study. ;NULL;NULL; pages 38-51 ; 1988. ; Morgan-Kauffman,;NULL;NULL; Proceedings of the 1988 Connectionist Models Summer School ; In D. Touretzky, G. Hinton, and T. Sejnowsky, editors, ;NULL;NULL;NULL
138; S. Fahlman. ; Faster-learning variations on back-propagation: An empirical study. ;NULL;NULL;NULL; 1988. ;NULL;NULL;NULL; In Connectionist Models Summer School ;NULL;NULL; Carnegie Mellon, ;NULL
139; S. E. Fahlman, ; Faster-learning variations on back-propagation: An empirical study, ;NULL;NULL;NULL; 1988. ; Morgan Kaufmann, ;NULL;NULL; in Proceedings of the 1988 Connectionist Models Summer School ;NULL;NULL;NULL;NULL
140; S. E. Fahlman, ; Faster-learning variations on backpropagation: An empirical study, ;NULL;NULL; pp 38-51 ;1988; Morgan Kaufmann, ; San Mateo, CA: ;NULL; in Proceedings of the 1988 Connectionist Models Summer School ; D. S. Touretzky, G. E. Hinton, and T. J. Sejnowski,Eds. ;NULL;NULL;NULL
141; S. E. Fahlman. ; Fast-learning variations on back-propagation: An empirical study. ;NULL;NULL; pages 38-51 ; 1988.; Morgan Kaufmann.  ; San Mateo, CA, ;NULL; Connectionist Models Summer School: 1988 Proceedings ; In D. S. Touretzky, G. E. Hinton, and Sejnowski, editors, ;NULL;NULL;NULL
142; S. E. ; Fahlman (1988): Faster-Learning Variations on Back-Propagation: An Empirical Study, ;NULL;NULL;NULL;NULL; Morgan Kauf-mann. ;NULL;NULL; in Proceedings of the 1988 Connectionist Summer School ;NULL;NULL;NULL;NULL
143; S. E. ; Fahlman (1988): Faster-Learning Variations on BackPropagation: An Empirical Study, ;NULL;NULL;NULL;NULL; Morgan Kauf-mann. ;NULL;NULL; in Proceedings of the 1988 Connectionist Models Summer School ;NULL;NULL;NULL;NULL
144; Fahlman, S.E. ; Fast Learning Variations on Backpropagation: An Empirical Study, ;NULL;NULL; pp 38-51 ;1989; Sejnowski, ; San Mateo: ;NULL; In proceedings of the 1988 Connectionist Models Summer School ; Eds. D.S. Touretzky, G. Hinton and T. ;NULL;NULL;NULL
145; Scott Fahlman, ;" ""Faster-Learning Variations on Back Propagation: An Empirical Study,"" ";NULL;NULL;NULL; 1988. ; Morgan Kaufmann, ;NULL;NULL; In Proceedings of the 1988 Connectionist Models Summer School. ;NULL;NULL;NULL;NULL
146; S.E. Fahlman, ; An empirical study of learning speed in backpropagation networks, ;NULL;NULL;NULL;1988;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; Carnegie Mellon University;NULL
147; Scott E. Fahlman. ; An empirical study of learning speed in back-propagation networks. ;NULL;NULL;NULL; September ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; School of Computer Science, Carnegie Mellon University, ;NULL
148; Fahlman S. E. ; An empirical study of learning speed in backpropagation networks, ;NULL;NULL;NULL; 1988: ;NULL; Pittsburgh, PA. ;NULL;NULL;NULL; Technical Report CMU-CS-88-162 , Carnegie-Mellon University, ; Computer Science Dept., ;NULL
149; Fahlman, S. E. ; An empirical study of learning speed in backpropagation networks. ;NULL;NULL;NULL;1988;NULL;Pittsburg, PA. ;NULL;NULL;NULL; Technical Report CMU-CS-88-182. ;Department of Computer Science, Carnegie-Mellon University, ;NULL
150; Fahlman, S. E. ; An empirical study of learning speed in back-propagation networks, ;NULL;NULL;NULL;1988;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; Carnegie Mel-lon University. ;NULL
151; Fahlman, S. E. ; An empirical study of learning speed in back-propagation networks. ;NULL;NULL;NULL;1988;NULL; Pittsburgh, PA. ;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; School of Computer Science, Carnegie Mellon University, ;NULL
152; Fahlman, S. E. ; An empirical study of learning speed in back propagation networks. ;NULL;NULL;NULL;1988;NULL; Pittsburgh, PA. ;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; Computer Science Department, Carnegie Mellon University, ;NULL
153; Fahlman, S. E. ; An empirical study of learning speed in backpropagation networks. ;NULL;NULL;NULL;1988;NULL; Pittsburgh, PA. ;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; Computer Science Department, Carnegie Mellon University, ;NULL
154; Fahlman, S. E. ; An empirical study of learning speed in backpropagation networks. ;NULL;NULL;NULL;1988;NULL; Pittsburgh, PA. ;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; Computer Science Department, Carnegie Mellon University, ;NULL
155; Fahlman, S. E. ; An empirical study of learning speed in backpropagation networks. ;NULL;NULL;NULL;1988;NULL; Pittsburgh, PA 15213. ;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; School of Computer Science, Carnegie Mellon University, ;NULL
156; Fahlman, S.E. ; An Empirical Study of Learning Speed in Backpropagation Networks. ;NULL;NULL;NULL; 1988. ;NULL;Pittsburgh, PA. ;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ;School of Computer Science, Carnegie Mellon University,;NULL
157; Fahlman, S.E. ; (1988) An Empirical Study of Learning Speed in BackPropagation Networks (CMU-CS-88-162), ;NULL;NULL;NULL;NULL;NULL; Pittsburgh, PA. ;NULL;NULL;NULL; Technical Report, ; Department of Computer Science, Carnegie Mellon University, ;NULL
158; Fahlman, S.E. ; An empirical study of learning speed in back-propagation networks, ;NULL;NULL;NULL;1988;NULL;NULL;NULL;NULL;NULL; CMU-CS-88-162, ; School of Computer Science, Carnegie Mellon University. ;NULL
159; Fahlman, Scott. ; An empirical study of learning speed in back-propagation networks. ;NULL;NULL;NULL; 1988. ;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; Department of Computer Science, Carnegie Mellon University. ;NULL
160; Fahlman, Scott. ; An empirical study of learning speed in back-propagation networks. ;NULL;NULL;NULL; 1988. ;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; Department of Computer Science, Carnegie Mellon University. ;NULL
161; Fahlman, Scott. ; An empirical study of learning speed in back-propagation networks. ;NULL;NULL;NULL; 1988. ;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; Department of Computer Science, Carnegie Mellon University. ;NULL
162; Fahlman, Scott. ; An empirical study of learning speed in back-propagation networks. ;NULL;NULL;NULL; 1988. ;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; Department of Computer Science, Carnegie Mellon University. ;NULL
163; S. E. Fahlman. ; An empirical study of learning speed in back-propagation networks. ;NULL;NULL;NULL; 1988. ;NULL; Pittsburgh, PA - USA, ;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; Computer Science Department - Carnegie-Mellon, ;NULL
164; Fahlman, S.E. ; An Empirical Study of Learning Speed in Back-Propagation Networks. ;NULL;NULL;NULL; 1988. ; Morgan-Kaufmann. ;NULL;NULL; In Proceedings of the 1988 Connectionist Models Summer School. ;NULL;NULL;NULL;NULL
165; Fahlman, S.E. ; An Empirical Study of Learning Speed in Back-Propagation Networks. ;NULL;NULL;NULL; 1988. ; Morgan-Kaufmann. ;NULL;NULL; In Proceedings of the 1988 Connectionist Models Summer School. ;NULL;NULL;NULL;NULL
166; Scott E. Fahlman. ; An empirical strudy of learning speed in back-propagation networks. ;NULL;NULL;NULL; September ;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; CMU Department of Computer Science, ;NULL
167; S. Fahlman. ; An empirical study of learning speed in back-propagation networks. ;NULL;NULL;NULL; 1988. ;NULL;NULL;NULL;NULL;NULL; Technical report, ; Carnegie Mellon University, ;NULL
168; S. E. Fahlman, ;" ""An Empirical Study of Learning Speed in Backpropagation Networks,"" ";NULL;NULL;NULL;1988;NULL; PA, ;NULL;NULL;NULL; Tech--nical Report CMU-CS-88-162, ; School of Computer Science, Carnegie Mellon University, Pitts-burgh, ;NULL
169; S. E. Fahlman, ;" ""An empirical study of learning speed in back-propagation networks,"" ";NULL;NULL;NULL; June ;NULL;NULL;NULL;NULL;NULL; Tech. Rep. ; CMU-CS-88-162, Computer Science Department, Carnegie Mellon University, Pitts-burgh, ;NULL
170; S.E. Fahlman. ; An empirical study of learning speed in back-propagation networks. ;NULL;NULL;NULL; 1988. ;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; Carnegie Mellon University, ;NULL
171; S. E. Fahlman, ;" ""An Empirical Study of Learning Speed in Backpropagation Networks,"" ";NULL;NULL;NULL;1998;NULL; Pittsburgh, USA ;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; School of Computer Science, Carnegie Mellon University, ;NULL
172; Scott E. Fahlman. ; An empirical study of learning speed in back-propagation networks. ;NULL;NULL;NULL; September ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; School of Computer Science, Carnegie Mellon University, ;NULL
173; S. E. Fahlman, ; An Empirical Study of Learning Speed in Back-Propagation Networks, ;NULL;NULL;NULL; 1988. ;NULL;NULL;NULL;NULL;NULL; Technical Report, ; CMU-CS-TR-88-162, Carnegie Mellon University, ;NULL
174; S. E. Fahlman, ; An Empirical Study of Learning Speed in Back-Propagation Networks, ;NULL;NULL;NULL; 1988. ;NULL;NULL;NULL;NULL;NULL; Technical Report, ; CMU-CS-TR-88-162, Carnegie Mellon University, ;NULL
175; Scott E. Fahlman. ; An empirical study of learning speed in back-propagation networks. ;NULL;NULL;NULL; September ;NULL; Pittsburgh, PA 15213, ;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; School of Computer Science, Carnegie Mellon University, ;NULL
176; Scott E. Fahlman. ; An empirical study of learning speed in back-propagation networks. ;NULL;NULL;NULL; September ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; School of Computer Science, Carnegie Mellon University, ;NULL
177; Fahlman, S.E. ; An Empirical Study of Learning Speed in Back-Propagation Networks, ;NULL;NULL;NULL; September ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; CMU-CS-88-162, ; Carnegie Mellon University, ;NULL
1; M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. ; Inganas and M.R. ; Andersson, J Appl. Phys., ;76;893;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2; M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R.   Andersson, ;NULL;  J Appl. Phys., ;76;893;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3; M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.  Inganas and M.R.  Andersson, ;NULL; J Appl. Phys.,;76;893;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
4; M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,;NULL; J Appl. Phys., ;76;893;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5; M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.  Inganas and M.R. Andersson,;NULL; J Appl. Phys., ;76;893;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6; M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,;NULL; J Appl. Phys., ;76;893;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
7; M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,;NULL; J Appl. Phys., ;76;893;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
8; M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,;NULL; Journal of Applied Physics, ;76;893;1994;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9; C. Ray Asfahl. ; Robots and Manufacturing Automation. ;NULL;NULL;NULL; 1992. ; John Wiley and Sons, ; New York, ; second edition, ;NULL;NULL;NULL;NULL;NULL
10; Steve Benford and Lennart E. Fahlen. ; A spatial model of interaction in large virtual environments. ;NULL;NULL;NULL; September ;NULL; Milan, ;NULL; In Proceedings of ECSCW93 ;NULL;NULL;NULL;NULL
11; Benford, S., and Fahln, L. ; Viewpoints, Actionpoints and Spatial Frames for Collaborative User Interfaces, ;NULL;NULL;NULL;1994;NULL;Stockholm. ;NULL; 6th ERCIM workshop ;NULL;NULL;NULL;NULL
12; Benford, S., Bowers, J., Fahln, L., Greenhalgh, C., and Snowdon, D., ; User Embodiment in Collaborative Virtual Environments, ;NULL;NULL;NULL; May 7-11 1995;NULL; Denver, Colorado, USA. ;NULL; in Proc. ACM Conference on Human Factors in Computing Systems (CHI95) ;NULL;NULL;NULL;NULL
13; Benford, S., Bowers, J., Fahlen, L.E., Greenhalgh, C., Snowdon, D. ; User Embodiment in Collaborative Virtual Environments. ;NULL;NULL; 242-249 ;1995;NULL;NULL;NULL; In Proceedings of CHI95 ;NULL;NULL;NULL;NULL
14; Benford, S., Bowers, J., Fahlen, L.E., Greenhalgh, C., Snowdon, D. ; User Embodiment in Collaborative Virtual Environments. ;NULL; 242 249 ;NULL;NULL;NULL;NULL;NULL; In Proceedings of CHI95 ;NULL;NULL;NULL;NULL
15; Steve Benford, John Bowers, Lennart Fahlen, Chris Greenhalg, John Mariani, and Tom Rodden. ; Networked Virtual realitty and Cooperative Work. ; Presence,; 4(4) ; 364-386 ; 1995. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
16; Brown, D. F., Moura, H. & Watt, D. A. ; Actress: an action semantics directed compiler generator, ;NULL;NULL; pp 95-109 ; 1992b ; Springer-Verlag, ; Paderborn, Germany, ;Vol. 641 of Lecture Notes in Computer Science, ; Proceedings of the International Workshop on Compiler Construction (CC-92) ; in U. Kas-tens & P. Pfahler, eds, ;NULL;NULL;NULL
17; Brown, D. F., Moura, H. & Watt, D. A. ; Actress: an action semantics directed compiler generator, ;NULL;NULL; pp 95-109 ; 1992b ; Springer-Verlag, ; Paderborn, Germany, ;Vol. 641 of Lecture Notes in Computer Science, ; Proceedings of the International Workshop on Compiler Construction (CC-92) ; in U. Kas-tens & P. Pfahler, eds, ;NULL;NULL;NULL
18; D. F. Brown, H. Moura, and D. A. Watt. Actress: ; an action semantics directed compiler generator. ;NULL;NULL; pages 95-109 ;October 1992. ; Springer-Verlag. ; Paderborn, FRG, ;volume 641 of Lecture Notes in Computer Science, ; Proceedings of the 4th International Conference on Compiler Construction (CC92) ; In U. Kastens and P. Pfahler, editors, ;NULL;NULL;NULL
19; B. Buth, K.-H. Buth, M. Franzle, B. v. Karger, Y. Lakhneche, H. Langmaack, and M. Muller-Olm. ; Provably correct compiler development and implementation. ;NULL;NULL;NULL; 1992. ; Springer-Verlag, ;NULL;volume 641 of Lecture Notes in Computer Science. ; Compiler Construction ; In U. Kastens and P. Pfahler, editors, ;NULL;NULL;NULL
20; B. Buth et. al., ; Provably Correct Compiler Implementation, ;NULL;NULL; pp 141-155 ;1992; Springer Verlag, LNCS 641, ;NULL;NULL; Compiler Construction ; in U. Karstens and P. Pfahler (eds.) ;NULL;NULL;NULL
21; B. Buth et. al., ; Provably Correct Compiler Implementation, ;NULL;NULL; pp 141-155 ;1992; Springer Verlag, LNCS 641, ;NULL;NULL; Compiler Construction ; in U. Karstens and P. Pfahler (eds.) ;NULL;NULL;NULL
22; B. Buth et. al., ; Provably Correct Compiler Implementation, ;NULL;NULL; pp 141-155 ;1992; Springer Verlag, LNCS 641, ;NULL;NULL; Compiler Construction ; in U. Karstens and P. Pfahler (eds.) ;NULL;NULL;NULL
23; Bettina Buth, Karl-Heinz Buth, Martin Franzle, Burghard von Karger, Yassine Lakhneche, Hans Langmaack, and Markus Muller-Olm. ; Provably correct compiler development and implementation. ;NULL;NULL; pages 141-155 ; 1992. ; Springer-Verlag, ;NULL;NULL; Compiler Construction number 641 in Lecture Notes in Computer Science ; In U. Kastens and P. Pfahler, editors, ;NULL;NULL;NULL
24;" Carlson, C.; L.E.Fahln. "; Integrated CSCW Tools Within a Shared 3D Virtual Environment.;NULL;NULL;513; 1993. ; Morgan Kaufmann. ; NY:;NULL; In Proceedings of InterCHI93 (Amsterdam). ACM; Ed. Irene Greit:;NULL;NULL;NULL
25; Cramer, N. L. ; A representation for the adaptive generation of simple sequential programs. ;NULL;NULL; pages 183-187 ;1985; Lawrence Erlbaum Associates. ; Hillsdale, NJ. ;NULL; Proceedings of an International Conference on Genetic Algorithms and Their Applications ; In Grefenstette, J., editor, ;NULL;NULL;NULL
26; Daelemans, W., Van den Bosch, A., and Weijters, T. ; IG-tree: A variant of IBL. submitted. Available from request to antal@cs.rulimburg.nl Fahlman, ;NULL;NULL;NULL;1995;NULL; Pittsburgh, PA. ;NULL;NULL; S. E. and Lebiere, C. ; Technical Report CMU-CS-90-100, ; School of Computer Science, Carnegie-Mellon University, ;NULL
27;NULL; An investigation of niche and species formation in genetic function op-timization. ;NULL;NULL; pp 42-50 ;NULL; Morgan Kaufmann. ;NULL;NULL; Proceedings of the Third International Conference on Genetic Algorithms ; Deb, K. and D. Goldberg (1989). ;NULL;NULL;NULL
28;NULL; An investigation of niche and species formation in genetic function optimization. ;NULL;NULL; pp 42-50 ;1989; Morgan Kaufmann. ;NULL;NULL; Proceedings of the Third International Conference on Genetic Algorithms ; Deb, K. and D. Goldberg ;NULL;NULL;NULL
29;NULL; An investigation of niche and species formation in genetic function optimization. ;NULL;NULL; pp 42-50 ;1989; Morgan Kaufmann. ;NULL;NULL; Proceedings of the Third International Conference on Genetic Algorithms ; Deb, K. and D. Goldberg ;NULL;NULL;NULL
30; Dempster, A., Laird, N., and Rubin, D. ; Maximum likelihood from incomplete data via the EM algorithm. ; Journal of the Royal Statistical Society B, ;39; 1-38 ;1977;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
31; Dempster, A., Laird, N., and Rubin, D. ; Maximum likelihood from incomplete data via the EM algorithm. ; Journal of the Royal Statistical Society B, ;39; 1-38 ;1977;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
32; M. Dill and M. Fahle; Limited Translation Invari-ance of Human Visual Pattern Recognition. ; Perception & Psychophysics (in press). ;NULL;NULL;1997a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
33; M. Dill and M. Fahle; Limited Translation Invari-ance of Human Visual Pattern Recognition. ; Perception & Psychophysics (in press). ;NULL;NULL;1997a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
34; M. Dill and M. Fahle; The Role of Visual Field Position in Pattern-Discrimination Learning. ;NULL;NULL;NULL; 1997b;NULL;NULL;NULL; Proceedings of the Royal Society London B (in press). ;NULL;NULL;NULL;NULL
35; M. Dill and M. Fahle; The Role of Visual Field Position in Pattern-Discrimination Learning. ;NULL;NULL;NULL;1997b;NULL;NULL;NULL; Proceedings of the Royal Society London B (in press). ;NULL;NULL;NULL;NULL
36; Dutta, S. and Shekhar, S. ; Bond rating: A non-conservative application of neural networks. ;NULL; volume 2 ; pages 443-450 ; 1988. ;NULL;NULL;NULL; In International Joint Conference on Neural Networks ;NULL; TR91-008 ;Computer and Information Sciences, University of Florida ;NULL
37; M. Fahle and T. Poggio. ; Visual hyperacuity: spatiotemporal interpolation in human vision. ;NULL;213; 451-477 ; 1981. ;NULL;NULL;NULL; Proceedings of the Royal Society of London B ;NULL;NULL;NULL;NULL
38; Fahle, M. ; (1991) Parallel perception of vernier offsets, curvature, and chevrons in humans. ; Vis. Res., ; 31: ; 2149-2184 ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
39; Fahle, M. W. and Edelman, S. ; Learning in hyperacuity: influence of stimulus range and of feedback. ;Vision Research.;NULL;NULL;1992; in press. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL
40; M Fahle and S Edelman. ; Long-term learning in Vernier acuity: effects of stimulus orientation, range and of feedback. ; Vision Research, ; 33(3) ; 397-412 ; 1993. ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
41; Fahle, M.  Edelman, S. ; Long-term learning in vernier acuity: Effects of stimulus orientation, range and of feedback. ; Vision Research, ;33; 397-412 ;1993;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
42; Fahle, M.  Edelman, S. ; Long-term learning in vernier acuity: Effects of stimulus orientation, range and of feedback. ; Vision Research, ;33; 397-412 ;1993;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
43; Fahle, M., Edelman, S., and Poggio, T. ; Fast perceptual learning in hyperacuity. ; Vision Research, ;35; 3003-3013 ;1995;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
44; Fahle, M., Edelman, S., and Poggio, T. ; Fast perceptual learning in hyperacuity. ; Vision Research, ;35; 3003-3013 ;1995;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
45; Fahle, M., Edelman, S., and Poggio, T. ; Fast perceptual learning in hyperacuity. ; Vision Research, ;35; 3003-3013 ;1995;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
46; Fahle, M., Edelman, S., & Poggio, T. ; Fast perceptual learning in hyperacuity. ; Vision Research, ;35; 3003-3013 ;1995;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
47; Fahle, M. ; Specificity of learning curvature, orientation, and vernier discriminations. ; Vision Research, ; 37(14) ; 1885-1895 66 ;1997;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
48; Fahle, M. ;Specificity of learning curvature, orientation, and vernier discriminations. ; Vision Research, ; 37(14) ; 1885-1895 ;1997;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
